,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
1,Noel Acciari\acciano01,30,FLA,C,12,1,4,5,1,2,0.3,1,0,0,1,4,0,0,18,5.6,143,11:55,8,33,50,52,49
2,Calen Addison\addisca01,21,MIN,D,15,2,2,4,-4,2,0.3,2,0,0,0,2,0,0,17,11.8,207,13:47,6,12,0,0,
3,Andrew Agozzino\agozzan01,31,OTT,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6:52,0,4,1,2,33.3
4,Jack Ahcan\ahcanja01,24,BOS,D,5,1,0,1,-2,0,0.1,0,1,0,0,0,0,0,4,25,74,14:48,3,6,0,0,
5,Sebastian Aho\ahose01,24,CAR,F,62,28,36,64,11,36,7.4,16,12,0,6,21,13,2,179,15.6,1190,19:11,20,65,417,404,50.8
6,Sebastian Aho\ahose02,25,NYI,D,27,0,9,9,-10,8,0.8,0,0,0,0,7,2,0,30,0,460,17:03,36,22,0,0,
7,Alexander Alexeyev\alexeal01,22,WSH,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,11,10:35,0,1,0,0,
8,Wade Allison\alliswa01,24,PHI,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,8,8:16,0,1,0,0,
9,Michael Amadio\amadimi01,25,TOT,C,42,7,6,13,-1,8,1.1,7,0,0,2,6,0,0,46,15.2,488,11:37,13,31,21,34,38.2
9,Michael Amadio\amadimi01,25,VEG,C,39,7,6,13,-2,8,1.1,7,0,0,2,6,0,0,44,15.9,461,11:49,13,28,21,32,39.6
9,Michael Amadio\amadimi01,25,TOR,C,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,27,9:10,0,3,0,2,0
10,Joey Anderson\anderjo08,23,TOR,RW,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,8,0,31,7:47,0,2,0,0,
11,Josh Anderson\anderjo05,27,MTL,RW,52,15,10,25,-22,53,1.7,14,1,0,1,9,1,0,115,13,897,17:16,22,113,13,16,44.8
12,Michael Anderson\andermi02,22,LAK,D,55,2,5,7,5,6,2.3,2,0,0,1,5,0,0,56,3.6,1105,20:05,66,127,0,0,
13,Jaret Anderson-Dolan\anderja01,22,LAK,C,7,0,0,0,-3,4,-0.3,0,0,0,0,0,0,0,5,0,97,13:47,3,12,9,7,56.3
14,Lias Andersson\anderli01,23,LAK,C,15,0,1,1,-5,10,-0.3,0,0,0,0,0,1,0,20,0,168,11:11,2,17,11,9,55
15,Rasmus Andersson\anderra01,25,CGY,D,65,4,36,40,23,18,7,2,2,0,1,22,13,1,119,3.4,1460,22:28,107,44,0,0,
16,Andy Andreoff\andrean01,30,NYI,LW,5,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,6,16.7,49,9:52,1,8,6,3,66.7
17,Anthony Angello\angelan01,25,PIT,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5:19,0,1,0,0,
18,Mason Appleton\applema01,26,TOT,C,52,6,11,17,-3,14,1,6,0,0,2,11,0,0,71,8.5,747,14:22,14,46,7,13,35
18,Mason Appleton\applema01,26,SEA,C,49,6,11,17,-4,14,1.1,6,0,0,2,11,0,0,68,8.8,701,14:18,12,39,7,13,35
18,Mason Appleton\applema01,26,WPG,C,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,46,15:30,2,7,0,0,
19,Josh Archibald\archijo01,29,EDM,RW,4,0,1,1,0,7,0,0,0,0,0,1,0,0,3,0,30,7:35,0,12,2,1,66.7
20,Joel Armia\armiajo01,28,MTL,RW,49,4,8,12,-12,14,0.1,2,1,1,0,6,2,0,80,5,663,13:32,22,90,2,12,14.3
21,Viktor Arvidsson\arvidvi01,28,LAK,LW,52,18,21,39,5,22,4.6,14,4,0,3,18,3,0,190,9.5,892,17:10,36,17,11,12,47.8
22,Rasmus Asplund\asplura01,24,BUF,F,63,5,17,22,-10,8,1,2,2,1,1,15,2,0,107,4.7,927,14:43,13,19,25,32,43.9
23,Zach Aston-Reese\astonza01,27,TOT,C,54,2,9,11,8,22,0.4,2,0,0,0,9,0,0,55,3.6,698,12:55,35,191,3,2,60
23,Zach Aston-Reese\astonza01,27,PIT,C,52,2,9,11,8,22,0.5,2,0,0,0,9,0,0,52,3.8,672,12:55,32,187,3,2,60
23,Zach Aston-Reese\astonza01,27,ANA,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,12:58,3,4,0,0,
24,Andreas Athanasiou\athanan01,27,LAK,C,22,9,5,14,2,2,1.9,9,0,0,3,4,1,0,51,17.6,323,14:41,6,7,7,5,58.3
25,Cam Atkinson\atkinca01,32,PHI,RW,65,23,26,49,6,8,5.5,18,2,3,6,23,3,0,199,11.6,1201,18:29,42,17,4,10,28.6
26,Nicolas Aube-Kubel\aubekni01,25,TOT,RW,59,7,9,16,5,43,1.4,7,0,0,1,9,0,0,69,10.1,561,9:31,12,109,3,8,27.3
26,Nicolas Aube-Kubel\aubekni01,25,COL,RW,52,7,8,15,8,37,1.5,7,0,0,1,8,0,0,60,11.7,493,9:28,11,92,3,8,27.3
26,Nicolas Aube-Kubel\aubekni01,25,PHI,RW,7,0,1,1,-3,6,-0.1,0,0,0,0,1,0,0,9,0,69,9:49,1,17,0,0,
27,Mikael Backlund\backlmi01,32,CGY,C,65,12,20,32,16,20,3,12,0,0,1,16,4,0,170,7.1,1118,17:12,22,53,494,481,50.7
28,Nicklas Backstrom\backsni02,34,WSH,C,34,6,20,26,-2,6,2.1,5,1,0,1,9,11,0,55,10.9,607,17:51,11,13,229,267,46.2
29,Brandon Baddock\baddobr01,26,MTL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,8:24,0,6,0,0,
30,Sven Baertschi\baertsv01,29,VEG,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,14,13:54,0,0,0,0,
31,Kevin Bahl\bahlke01,21,NJD,D,5,0,0,0,-3,4,-0.2,0,0,0,0,0,0,0,4,0,66,13:14,3,8,0,0,
32,Josh Bailey\bailejo01,32,NYI,C,55,7,24,31,-5,6,2.2,6,1,0,1,18,6,0,60,11.7,922,16:46,19,15,42,62,40.4
33,Justin Bailey\baileju01,26,VAN,RW,14,0,0,0,-5,6,-0.4,0,0,0,0,0,0,0,16,0,127,9:05,6,12,0,1,0
34,Rudolfs Balcers\balceru01,24,SJS,LW,44,8,10,18,-1,14,1.6,8,0,0,1,9,0,1,74,10.8,668,15:11,29,86,7,11,38.9
35,Alexander Barabanov\barabal01,27,SJS,F,57,10,26,36,4,12,3.4,8,2,0,1,20,6,0,78,12.8,977,17:09,35,42,0,1,0
36,Ivan Barbashev\barbaiv01,26,STL,C,63,19,25,44,6,32,4.4,14,4,1,1,20,4,1,89,21.3,1045,16:35,24,113,116,174,40
37,Riley Barber\barberi01,27,DET,RW,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,12,6:08,1,1,0,0,
38,Aleksander Barkov\barkoal01,26,FLA,C,51,28,36,64,27,10,7.7,15,9,4,3,27,9,0,162,17.3,1036,20:19,35,41,563,451,55.5
39,Alex Barre-Boulet\barreal01,24,TOT,F,16,3,3,6,0,4,0.6,3,0,0,0,2,1,0,16,18.8,176,11:00,3,10,6,9,40
39,Alex Barre-Boulet\barreal01,24,TBL,F,14,3,2,5,0,4,0.5,3,0,0,0,1,1,0,16,18.8,159,11:20,3,10,6,9,40
39,Alex Barre-Boulet\barreal01,24,SEA,F,2,0,1,1,0,0,0.1,0,0,0,0,1,0,0,0,,17,8:39,0,0,0,0,
40,Tyson Barrie\barrity01,30,EDM,D,57,5,25,30,-5,18,3.7,2,3,0,0,10,14,1,115,4.3,1093,19:10,53,22,0,0,
41,Justin Barron\barroju01,20,COL,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,25,12:35,1,1,0,0,
42,Morgan Barron\barromo01,23,NYR,C,13,0,1,1,-1,4,-0.1,0,0,0,0,1,0,0,9,0,116,8:54,3,28,25,17,59.5
43,Mathew Barzal\barzama01,24,NYI,C,54,12,30,42,-5,14,3.7,11,1,0,1,18,12,0,128,9.4,981,18:10,12,29,179,204,46.7
44,Nathan Bastian\bastina01,24,TOT,RW,58,11,2,13,-12,61,0.8,8,3,0,1,1,1,0,79,13.9,699,12:03,32,168,19,14,57.6
44,Nathan Bastian\bastina01,24,NJD,RW,46,10,1,11,-11,30,0.7,7,3,0,1,0,1,0,69,14.5,588,12:47,26,152,17,12,58.6
44,Nathan Bastian\bastina01,24,SEA,RW,12,1,1,2,-1,31,0.1,1,0,0,0,1,0,0,10,10,111,9:14,6,16,2,2,50
45,Drake Batherson\bathedr01,23,OTT,C,32,13,22,35,4,18,4.1,11,2,0,0,13,9,0,76,17.1,606,18:57,12,70,14,13,51.9
46,Gavin Bayreuther\bayrega01,27,CBJ,D,38,0,8,8,0,22,1,0,0,0,0,8,0,0,43,0,500,13:10,39,42,0,0,
47,Jay Beagle\beaglja01,36,ARI,RW,22,1,0,1,-10,10,-0.7,1,0,0,0,0,0,0,13,7.7,309,14:02,11,34,197,122,61.8
48,Jake Bean\beanja01,23,CBJ,D,51,5,13,18,-5,26,2.4,5,0,0,2,10,2,1,72,6.9,1060,20:47,63,24,0,0,
49,Ethan Bear\bearet01,24,CAR,D,51,4,9,13,5,18,3,4,0,0,2,8,1,0,85,4.7,822,16:07,38,48,0,0,
50,Nicolas Beaudin\beaudni01,22,CHI,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,12,6:10,1,0,0,0,
51,Nathan Beaulieu\beaulna01,29,WPG,D,24,0,4,4,-7,25,0.1,0,0,0,0,3,0,1,24,0,258,10:46,19,19,0,0,
52,Anthony Beauvillier\beauvan01,24,NYI,LW,60,10,21,31,-8,4,2.3,6,4,0,1,16,5,0,132,7.6,1009,16:49,17,29,4,6,40
53,Adam Beckman\beckmad01,20,MIN,LW,3,0,1,1,-1,2,0,0,0,0,0,1,0,0,4,0,31,10:25,1,1,0,0,
54,Pierre-Edouard Bellemare\bellepi01,36,TBL,LW,63,7,10,17,21,17,1.6,6,0,1,1,10,0,0,60,11.7,885,14:03,34,67,392,358,52.3
55,Kieffer Bellows\belloki01,23,NYI,LW,33,4,9,13,2,15,1.2,4,0,0,2,7,2,0,56,7.1,396,12:00,6,69,0,1,0
56,Alex Belzile\belzial01,30,MTL,F,11,0,0,0,0,4,-0.2,0,0,0,0,0,0,0,13,0,114,10:24,5,17,8,11,42.1
57,Emil Bemstrom\bemstem01,22,CBJ,C,25,3,4,7,2,4,0.6,3,0,0,1,4,0,0,37,8.1,240,9:35,4,14,0,1,0
58,Jamie Benn\bennja01,32,DAL,LW,64,16,22,38,-2,74,3.5,13,2,1,1,15,7,0,150,10.7,1077,16:50,46,123,391,323,54.8
59,Jordie Benn\bennjo01,34,MIN,D,29,1,3,4,-4,8,0.2,1,0,0,0,3,0,0,25,4,438,15:06,31,35,0,0,
60,Sam Bennett\bennesa01,25,FLA,C,54,25,12,37,14,53,4.6,20,5,0,6,8,3,1,182,13.7,917,16:59,22,95,340,381,47.2
61,Matt Benning\bennima01,27,NSH,D,53,0,10,10,-15,35,0.5,0,0,0,0,10,0,0,49,0,888,16:45,58,68,0,0,
62,Simon Benoit\benoisi01,23,ANA,D,44,1,3,4,-7,22,0.8,1,0,0,0,3,0,0,30,3.3,610,13:52,30,140,0,0,
63,Tyler Benson\bensoty01,23,EDM,LW,29,1,1,2,-5,18,-0.3,1,0,0,0,1,0,0,18,5.6,248,8:32,3,45,0,1,0
64,Patrice Bergeron\bergepa01,36,BOS,C,57,17,29,46,16,26,5.1,10,7,0,3,14,13,2,227,7.5,1046,18:21,36,67,794,480,62.3
65,Jacob Bernard-Docker\bernaja01,21,OTT,D,8,0,1,1,1,4,0.3,0,0,0,0,1,0,0,6,0,118,14:46,3,4,0,0,
66,Tyler Bertuzzi\bertuty01,26,DET,LW,54,25,28,53,4,41,6,20,4,1,5,20,7,1,139,18,1074,19:53,32,49,5,10,33.3
67,Alex Biega\biegaal01,33,TOR,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0,26,13:07,1,5,0,0,
68,Brandon Biro\birobr01,23,BUF,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,13:30,0,1,0,0,
69,Clark Bishop\bishocl01,25,OTT,C,9,0,1,1,-3,6,-0.1,0,0,0,0,1,0,0,8,0,75,8:21,3,12,3,3,50
70,Anders Bjork\bjorkan01,25,BUF,LW,51,4,2,6,-14,10,-0.4,4,0,0,0,2,0,0,42,9.5,619,12:08,15,10,1,4,20
71,Kasper Bjorkqvist\bjorkka01,24,PIT,RW,6,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,8,12.5,50,8:22,2,9,0,0,
72,Oliver Bjorkstrand\bjorkol01,26,CBJ,RW,64,23,26,49,-26,10,4,16,7,0,1,17,9,0,171,13.5,1150,17:59,24,72,8,11,42.1
73,Tobias Bjornfot\bjornto01,20,LAK,D,62,0,8,8,-3,4,1.6,0,0,0,0,8,0,0,48,0,1031,16:37,54,51,0,0,
74,Nick Bjugstad\bjugsni01,29,MIN,C,41,5,5,10,-4,12,0.5,5,0,0,0,5,0,0,60,8.3,399,9:44,12,63,81,72,52.9
75,Colin Blackwell\blackco01,28,TOT,C,41,8,9,17,0,4,1.7,6,0,2,1,9,0,0,63,12.7,505,12:19,16,63,39,48,44.8
75,Colin Blackwell\blackco01,28,SEA,C,39,8,9,17,1,4,1.8,6,0,2,1,9,0,0,61,13.1,487,12:29,16,57,39,45,46.4
75,Colin Blackwell\blackco01,28,TOR,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,18,9:08,0,6,0,3,0
76,Sammy Blais\blaissa01,25,NYR,LW,14,0,4,4,3,17,0.2,0,0,0,0,4,0,0,17,0,188,13:28,8,37,1,4,20
77,Anton Blidh\blidhan01,26,BOS,LW,29,2,7,9,-3,12,0.5,2,0,0,0,7,0,0,22,9.1,305,10:32,16,73,0,3,0
78,Teddy Blueger\bluegte01,27,PIT,C,49,8,10,18,5,6,1.5,7,0,1,0,10,0,0,75,10.7,750,15:19,20,67,287,240,54.5
79,Brock Boeser\boesebr01,24,VAN,RW,61,19,19,38,-3,18,3.7,9,10,0,4,12,6,1,170,11.2,1133,18:35,21,29,11,14,44
80,Zach Bogosian\bogosza01,31,TBL,D,32,3,4,7,4,38,1.7,3,0,0,1,4,0,0,43,7,515,16:06,24,72,0,0,
81,Matt Boldy\boldyma01,20,MIN,LW,32,12,12,24,10,8,2.8,9,3,0,2,7,5,0,77,15.6,513,16:01,16,19,9,11,45
82,Nick Bonino\boninni01,33,SJS,C,63,8,9,17,-22,14,0.3,6,2,0,0,5,4,0,103,7.8,1051,16:40,83,25,434,404,51.8
83,Adam Boqvist\boqviad01,21,CBJ,D,41,11,9,20,-10,10,2.6,8,3,0,1,6,3,0,52,21.2,700,17:05,35,19,0,0,
84,Jesper Boqvist\boqvije01,23,NJD,C,39,5,9,14,-7,4,0.8,5,0,0,0,9,0,0,50,10,485,12:26,12,23,108,189,36.4
